State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA,Cedar Bluff,2020,1823.0,4.0,0.0,0.0,0.0,4.0,36.0,7.0,26.0,3.0,
ALABAMA,Centre,2020,3547.0,20.0,0.0,4.0,0.0,16.0,124.0,12.0,97.0,15.0,
ALABAMA,Daleville,2020,5080.0,16.0,0.0,0.0,1.0,15.0,98.0,19.0,72.0,7.0,
ALABAMA,Enterprise,2020,28569.0,128.0,2.0,17.0,9.0,100.0,715.0,97.0,570.0,48.0,
ALABAMA,Eufaula,2020,11568.0,95.0,3.0,9.0,15.0,68.0,456.0,95.0,318.0,43.0,
ALABAMA,Glencoe,2020,5063.0,10.0,0.0,1.0,0.0,9.0,41.0,7.0,32.0,2.0,
ALABAMA,Hokes Bluff,2020,4254.0,6.0,0.0,1.0,0.0,5.0,33.0,17.0,15.0,1.0,
ALABAMA,Jackson,2020,4583.0,29.0,1.0,1.0,1.0,26.0,83.0,12.0,68.0,3.0,
ALABAMA,Kimberly,2020,3660.0,6.0,0.0,0.0,0.0,6.0,20.0,1.0,17.0,2.0,
ALABAMA,Leesburg,2020,1014.0,2.0,0.0,0.0,0.0,2.0,18.0,8.0,8.0,2.0,
ALABAMA,Leighton,2020,754.0,12.0,0.0,2.0,0.0,10.0,36.0,11.0,20.0,5.0,
ALABAMA,Marion,2020,3067.0,5.0,0.0,0.0,0.0,5.0,12.0,8.0,3.0,1.0,
ALABAMA,Odenville,2020,3915.0,11.0,0.0,2.0,2.0,7.0,46.0,9.0,26.0,11.0,
ALABAMA,Piedmont,2020,4501.0,23.0,0.0,3.0,0.0,20.0,92.0,22.0,59.0,11.0,
ALABAMA,Rainbow City,2020,9610.0,6.0,0.0,2.0,0.0,4.0,86.0,17.0,60.0,9.0,
ALABAMA,Rogersville,2020,1250.0,4.0,0.0,0.0,0.0,4.0,29.0,9.0,17.0,3.0,
ALABAMA,Saraland,2020,14751.0,30.0,1.0,1.0,2.0,26.0,470.0,46.0,403.0,21.0,
ALABAMA,Thomasville,2020,3799.0,18.0,0.0,1.0,0.0,17.0,112.0,22.0,82.0,8.0,
ALASKA,Anchorage,2020,286388.0,3472.0,18.0,558.0,558.0,2338.0,9872.0,1444.0,7279.0,1149.0,73.0
ALASKA,Bethel,2020,6642.0,93.0,0.0,43.0,2.0,48.0,71.0,21.0,35.0,15.0,5.0
ALASKA,Bristol Bay Borough,2020,817.0,4.0,0.0,0.0,0.0,4.0,9.0,5.0,0.0,4.0,0.0
ALASKA,Cordova,2020,2161.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,1.0
ALASKA,Craig,2020,1268.0,3.0,0.0,0.0,0.0,3.0,12.0,2.0,10.0,0.0,1.0
ALASKA,Dillingham,2020,2364.0,22.0,0.0,1.0,0.0,21.0,25.0,7.0,14.0,4.0,1.0
