Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,,,,,,,,,,,,2020
,,,,,,,,,,,,,2020
,,,4.0,0.0,0.0,0.0,4.0,36.0,7.0,26.0,3.0,,2020
,,,20.0,0.0,4.0,0.0,16.0,124.0,12.0,97.0,15.0,,2020
,,,16.0,0.0,0.0,1.0,15.0,98.0,19.0,72.0,7.0,,2020
,,,128.0,2.0,17.0,9.0,100.0,715.0,97.0,570.0,48.0,,2020
,,,95.0,3.0,9.0,15.0,68.0,456.0,95.0,318.0,43.0,,2020
,,,10.0,0.0,1.0,0.0,9.0,41.0,7.0,32.0,2.0,,2020
,,,6.0,0.0,1.0,0.0,5.0,33.0,17.0,15.0,1.0,,2020
,,,29.0,1.0,1.0,1.0,26.0,83.0,12.0,68.0,3.0,,2020
,,,6.0,0.0,0.0,0.0,6.0,20.0,1.0,17.0,2.0,,2020
,,,2.0,0.0,0.0,0.0,2.0,18.0,8.0,8.0,2.0,,2020
,,754.0,12.0,0.0,2.0,0.0,10.0,36.0,11.0,20.0,5.0,,2020
,,,5.0,0.0,0.0,0.0,5.0,12.0,8.0,3.0,1.0,,2020
,,,11.0,0.0,2.0,2.0,7.0,46.0,9.0,26.0,11.0,,2020
,,,23.0,0.0,3.0,0.0,20.0,92.0,22.0,59.0,11.0,,2020
,,,6.0,0.0,2.0,0.0,4.0,86.0,17.0,60.0,9.0,,2020
,,,4.0,0.0,0.0,0.0,4.0,29.0,9.0,17.0,3.0,,2020
,,,30.0,1.0,1.0,2.0,26.0,470.0,46.0,403.0,21.0,,2020
,,,18.0,0.0,1.0,0.0,17.0,112.0,22.0,82.0,8.0,,2020
,,,,18.0,558.0,558.0,,,,,,73.0,2020
,,,93.0,0.0,43.0,2.0,48.0,71.0,21.0,35.0,15.0,5.0,2020
,,817.0,4.0,0.0,0.0,0.0,4.0,9.0,5.0,0.0,4.0,0.0,2020
,,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,1.0,2020
,,,3.0,0.0,0.0,0.0,3.0,12.0,2.0,10.0,0.0,1.0,2020
,,,22.0,0.0,1.0,0.0,21.0,25.0,7.0,14.0,4.0,1.0,2020
,,,260.0,3.0,24.0,41.0,192.0,,171.0,908.0,197.0,16.0,2020
,,,5.0,0.0,1.0,0.0,4.0,23.0,5.0,16.0,2.0,1.0,2020
,,,17.0,0.0,1.0,0.0,16.0,101.0,11.0,79.0,11.0,0.0,2020
,,,296.0,1.0,76.0,40.0,179.0,946.0,152.0,748.0,46.0,7.0,2020
,,,35.0,1.0,10.0,1.0,23.0,148.0,14.0,128.0,6.0,2.0,2020
,,,37.0,1.0,12.0,2.0,22.0,250.0,23.0,213.0,14.0,0.0,2020
,,,33.0,0.0,3.0,3.0,27.0,91.0,10.0,73.0,8.0,1.0,2020
,,,22.0,2.0,1.0,0.0,19.0,6.0,2.0,3.0,1.0,0.0,2020
,,,164.0,2.0,94.0,5.0,63.0,72.0,8.0,56.0,8.0,0.0,2020
,,,14.0,0.0,1.0,1.0,12.0,56.0,8.0,38.0,10.0,1.0,2020
,,,126.0,1.0,17.0,0.0,108.0,53.0,17.0,26.0,10.0,1.0,2020
,,,18.0,0.0,2.0,2.0,14.0,84.0,10.0,66.0,8.0,1.0,2020
,,,8.0,0.0,0.0,0.0,8.0,84.0,12.0,70.0,2.0,0.0,2020
,,,9.0,0.0,3.0,1.0,5.0,59.0,10.0,41.0,8.0,0.0,2020
,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2020
,,,7.0,0.0,1.0,1.0,5.0,89.0,6.0,78.0,5.0,2.0,2020
,,,9.0,0.0,0.0,0.0,9.0,54.0,1.0,53.0,0.0,0.0,2020
,,,7.0,0.0,2.0,0.0,5.0,36.0,3.0,33.0,0.0,0.0,2020
,,,78.0,0.0,9.0,5.0,64.0,341.0,27.0,285.0,29.0,0.0,2020
